bid_move1,bid_move2,delta_move,total,'wins','loses',PNL
0.0003,0.0003,0.8,427,125,302,-5824
0.0003,0.0003,1,315,100,215,-3996
0.0003,0.0003,1.2,235,72,163,-2931
0.0003,0.0003,1.4,183,64,119,-2000
0.0003,0.0003,1.6,139,38,101,-2030
0.0003,0.0005,0.8,427,100,327,-5834
0.0003,0.0005,1,315,73,242,-4135
0.0003,0.0005,1.2,235,60,175,-2922
0.0003,0.0005,1.4,183,41,142,-2405
0.0003,0.0005,1.6,139,31,108,-2033
0.0003,0.0007,0.8,427,73,354,-6173
0.0003,0.0007,1,315,66,249,-3856
0.0003,0.0007,1.2,235,44,191,-2952
0.0003,0.0007,1.4,183,39,144,-1931
0.0003,0.0007,1.6,139,22,117,-2158
0.0003,0.001,0.8,427,66,361,-5711
0.0003,0.001,1,315,50,265,-3676
0.0003,0.001,1.2,235,39,196,-2545
0.0003,0.001,1.4,183,27,156,-2326
0.0003,0.001,1.6,139,24,115,-1555
0.0003,0.0012,0.8,427,48,379,-6382
0.0003,0.0012,1,315,44,271,-3707
0.0003,0.0012,1.2,235,27,208,-3312
0.0003,0.0012,1.4,183,25,158,-2473
0.0003,0.0012,1.6,139,14,125,-2301
0.0003,0.0014,0.8,427,49,378,-5791
0.0003,0.0014,1,315,38,277,-3682
0.0003,0.0014,1.2,235,29,206,-2843
0.0003,0.0014,1.4,183,19,164,-2651
0.0003,0.0014,1.6,139,17,122,-1708
0.0003,0.0015,0.8,427,45,382,-5463
0.0003,0.0015,1,315,40,275,-3634
0.0003,0.0015,1.2,235,24,211,-3081
0.0003,0.0015,1.4,183,23,160,-1863
0.0003,0.0015,1.6,139,12,127,-2249
0.0003,0.002,0.8,427,34,393,-6501
0.0003,0.002,1,315,26,289,-4450
0.0003,0.002,1.2,235,20,215,-3190
0.0003,0.002,1.4,183,13,170,-2991
0.0003,0.002,1.6,139,11,128,-2326
0.0005,0.0003,0.8,427,189,238,-6444
0.0005,0.0003,1,315,145,170,-4361
0.0005,0.0003,1.2,235,110,125,-3036
0.0005,0.0003,1.4,183,90,93,-2040
0.0005,0.0003,1.6,139,64,75,-1906
0.0005,0.0005,0.8,427,155,272,-6552
0.0005,0.0005,1,315,121,194,-3873
0.0005,0.0005,1.2,235,95,140,-2737
0.0005,0.0005,1.4,183,73,110,-1866
0.0005,0.0005,1.6,139,52,87,-2007
0.0005,0.0007,0.8,427,123,304,-7011
0.0005,0.0007,1,315,104,211,-3864
0.0005,0.0007,1.2,235,77,158,-2711
0.0005,0.0007,1.4,183,63,120,-1744
0.0005,0.0007,1.6,139,45,94,-1690
0.0005,0.001,0.8,427,108,319,-6226
0.0005,0.001,1,315,83,232,-3767
0.0005,0.001,1.2,235,64,171,-2648
0.0005,0.001,1.4,183,48,135,-2160
0.0005,0.001,1.6,139,39,100,-1486
0.0005,0.0012,0.8,427,87,340,-7084
0.0005,0.0012,1,315,72,243,-4090
0.0005,0.0012,1.2,235,52,183,-3152
0.0005,0.0012,1.4,183,42,141,-2518
0.0005,0.0012,1.6,139,30,109,-2053
0.0005,0.0014,0.8,427,85,342,-6218
0.0005,0.0014,1,315,70,245,-2897
0.0005,0.0014,1.2,235,50,185,-2820
0.0005,0.0014,1.4,183,39,144,-1985
0.0005,0.0014,1.6,139,29,110,-1801
0.0005,0.0015,0.8,427,80,347,-5870
0.0005,0.0015,1,315,66,249,-3547
0.0005,0.0015,1.2,235,47,188,-2620
0.0005,0.0015,1.4,183,36,147,-2311
0.0005,0.0015,1.6,139,26,113,-1943
0.0005,0.002,0.8,427,61,366,-7107
0.0005,0.002,1,315,50,265,-4015
0.0005,0.002,1.2,235,35,200,-3556
0.0005,0.002,1.4,183,28,155,-2546
0.0005,0.002,1.6,139,20,119,-2442
0.0007,0.0003,0.8,427,234,193,-6594
0.0007,0.0003,1,315,178,137,-4225
0.0007,0.0003,1.2,235,132,103,-3288
0.0007,0.0003,1.4,183,111,72,-1609
0.0007,0.0003,1.6,139,78,61,-1944
0.0007,0.0005,0.8,427,201,226,-6217
0.0007,0.0005,1,315,148,167,-4391
0.0007,0.0005,1.2,235,119,116,-2507
0.0007,0.0005,1.4,183,93,90,-1512
0.0007,0.0005,1.6,139,69,70,-1595
0.0007,0.0007,0.8,427,166,261,-6943
0.0007,0.0007,1,315,135,180,-3462
0.0007,0.0007,1.2,235,100,135,-2601
0.0007,0.0007,1.4,183,84,99,-955
0.0007,0.0007,1.6,139,61,78,-1270
0.0007,0.001,0.8,427,140,287,-7001
0.0007,0.001,1,315,108,207,-4049
0.0007,0.001,1.2,235,83,152,-2660
0.0007,0.001,1.4,183,65,118,-1860
0.0007,0.001,1.6,139,50,89,-1498
0.0007,0.0012,0.8,427,118,309,-7918
0.0007,0.0012,1,315,94,221,-4568
0.0007,0.0012,1.2,235,67,168,-3929
0.0007,0.0012,1.4,183,54,129,-2847
0.0007,0.0012,1.6,139,39,100,-2459
0.0007,0.0014,0.8,427,111,316,-7348
0.0007,0.0014,1,315,89,226,-3726
0.0007,0.0014,1.2,235,64,171,-3437
0.0007,0.0014,1.4,183,52,131,-2019
0.0007,0.0014,1.6,139,36,103,-2400
0.0007,0.0015,0.8,427,108,319,-6582
0.0007,0.0015,1,315,87,228,-3589
0.0007,0.0015,1.2,235,61,174,-3245
0.0007,0.0015,1.4,183,48,135,-2458
0.0007,0.0015,1.6,139,34,105,-2405
0.0007,0.002,0.8,427,82,345,-8721
0.0007,0.002,1,315,67,248,-4582
0.0007,0.002,1.2,235,47,188,-4119
0.0007,0.002,1.4,183,38,145,-2849
0.0007,0.002,1.6,139,24,115,-3642
0.001,0.0003,0.8,427,279,148,-6302
0.001,0.0003,1,315,208,107,-4179
0.001,0.0003,1.2,235,158,77,-2915
0.001,0.0003,1.4,183,128,55,-1377
0.001,0.0003,1.6,139,96,43,-1392
0.001,0.0005,0.8,427,248,179,-5684
0.001,0.0005,1,315,186,129,-3375
0.001,0.0005,1.2,235,146,89,-1796
0.001,0.0005,1.4,183,116,67,-575
0.001,0.0005,1.6,139,88,51,-784
0.001,0.0007,0.8,427,214,213,-6385
0.001,0.0007,1,315,168,147,-2939
0.001,0.0007,1.2,235,127,108,-1965
0.001,0.0007,1.4,183,105,78,-198
0.001,0.0007,1.6,139,79,60,-491
0.001,0.001,0.8,427,183,244,-6667
0.001,0.001,1,315,134,181,-4775
0.001,0.001,1.2,235,106,129,-2553
0.001,0.001,1.4,183,82,101,-1873
0.001,0.001,1.6,139,64,75,-1283
0.001,0.0012,0.8,427,155,272,-8786
0.001,0.0012,1,315,119,196,-5468
0.001,0.0012,1.2,235,88,147,-4311
0.001,0.0012,1.4,183,72,111,-2526
0.001,0.0012,1.6,139,52,87,-2555
0.001,0.0014,0.8,427,148,279,-7681
0.001,0.0014,1,315,111,204,-5005
0.001,0.0014,1.2,235,85,150,-3410
0.001,0.0014,1.4,183,69,114,-1748
0.001,0.0014,1.6,139,51,88,-1830
0.001,0.0015,0.8,427,143,284,-7239
0.001,0.0015,1,315,111,204,-4161
0.001,0.0015,1.2,235,80,155,-3635
0.001,0.0015,1.4,183,66,117,-1867
0.001,0.0015,1.6,139,48,91,-2017
0.001,0.002,0.8,427,114,313,-9074
0.001,0.002,1,315,83,232,-7025
0.001,0.002,1.2,235,64,171,-4550
0.001,0.002,1.4,183,51,132,-3256
0.001,0.002,1.6,139,35,104,-3659
0.0012,0.0003,0.8,427,306,121,-5216
0.0012,0.0003,1,315,226,89,-3534
0.0012,0.0003,1.2,235,171,64,-2489
0.0012,0.0003,1.4,183,136,47,-1209
0.0012,0.0003,1.6,139,104,35,-1035
0.0012,0.0005,0.8,427,278,149,-4143
0.0012,0.0005,1,315,206,109,-2477
0.0012,0.0005,1.2,235,156,79,-1845
0.0012,0.0005,1.4,183,124,59,-529
0.0012,0.0005,1.6,139,94,45,-745
0.0012,0.0007,0.8,427,242,185,-5361
0.0012,0.0007,1,315,186,129,-2427
0.0012,0.0007,1.2,235,138,97,-2027
0.0012,0.0007,1.4,183,111,72,-580
0.0012,0.0007,1.6,139,84,55,-744
0.0012,0.001,0.8,427,207,220,-6269
0.0012,0.001,1,315,152,163,-4406
0.0012,0.001,1.2,235,114,121,-3387
0.0012,0.001,1.4,183,88,95,-2544
0.0012,0.001,1.6,139,67,72,-2118
0.0012,0.0012,0.8,427,181,246,-7989
0.0012,0.0012,1,315,136,179,-5230
0.0012,0.0012,1.2,235,99,136,-4584
0.0012,0.0012,1.4,183,77,106,-3553
0.0012,0.0012,1.6,139,57,82,-3097
0.0012,0.0014,0.8,427,170,257,-7614
0.0012,0.0014,1,315,127,188,-4886
0.0012,0.0014,1.2,235,92,143,-4618
0.0012,0.0014,1.4,183,74,109,-2707
0.0012,0.0014,1.6,139,54,85,-2803
0.0012,0.0015,0.8,427,165,262,-7033
0.0012,0.0015,1,315,124,191,-4797
0.0012,0.0015,1.2,235,89,146,-4332
0.0012,0.0015,1.4,183,71,112,-2849
0.0012,0.0015,1.6,139,52,87,-2750
0.0012,0.002,0.8,427,132,295,-9588
0.0012,0.002,1,315,98,217,-6918
0.0012,0.002,1.2,235,69,166,-6405
0.0012,0.002,1.4,183,54,129,-4953
0.0012,0.002,1.6,139,37,102,-5123
0.0014,0.0003,0.8,427,320,107,-5186
0.0014,0.0003,1,315,233,82,-4080
0.0014,0.0003,1.2,235,177,58,-2741
0.0014,0.0003,1.4,183,141,42,-1277
0.0014,0.0003,1.6,139,107,32,-1231
0.0014,0.0005,0.8,427,292,135,-4321
0.0014,0.0005,1,315,213,102,-3293
0.0014,0.0005,1.2,235,162,73,-2251
0.0014,0.0005,1.4,183,128,55,-899
0.0014,0.0005,1.6,139,97,42,-1062
0.0014,0.0007,0.8,427,261,166,-4990
0.0014,0.0007,1,315,196,119,-2781
0.0014,0.0007,1.2,235,147,88,-2078
0.0014,0.0007,1.4,183,116,67,-914
0.0014,0.0007,1.6,139,88,51,-1004
0.0014,0.001,0.8,427,223,204,-6676
0.0014,0.001,1,315,160,155,-5681
0.0014,0.001,1.2,235,121,114,-4058
0.0014,0.001,1.4,183,92,91,-3419
0.0014,0.001,1.6,139,70,69,-2827
0.0014,0.0012,0.8,427,198,229,-8431
0.0014,0.0012,1,315,144,171,-6693
0.0014,0.0012,1.2,235,106,129,-5482
0.0014,0.0012,1.4,183,81,102,-4555
0.0014,0.0012,1.6,139,60,79,-3956
0.0014,0.0014,0.8,427,187,240,-7799
0.0014,0.0014,1,315,136,179,-6108
0.0014,0.0014,1.2,235,99,136,-5467
0.0014,0.0014,1.4,183,78,105,-3736
0.0014,0.0014,1.6,139,57,82,-3664
0.0014,0.0015,0.8,427,185,242,-6386
0.0014,0.0015,1,315,135,180,-5242
0.0014,0.0015,1.2,235,98,137,-4638
0.0014,0.0015,1.4,183,77,106,-3247
0.0014,0.0015,1.6,139,57,82,-3053
0.0014,0.002,0.8,427,152,275,-8542
0.0014,0.002,1,315,108,207,-7786
0.0014,0.002,1.2,235,79,156,-6241
0.0014,0.002,1.4,183,61,122,-5100
0.0014,0.002,1.6,139,42,97,-5427
0.0015,0.0003,0.8,427,325,102,-5433
0.0015,0.0003,1,315,236,79,-4285
0.0015,0.0003,1.2,235,180,55,-2814
0.0015,0.0003,1.4,183,141,42,-1642
0.0015,0.0003,1.6,139,108,31,-1383
0.0015,0.0005,0.8,427,296,131,-4936
0.0015,0.0005,1,315,216,99,-3662
0.0015,0.0005,1.2,235,165,70,-2320
0.0015,0.0005,1.4,183,128,55,-1447
0.0015,0.0005,1.6,139,97,42,-1478
0.0015,0.0007,0.8,427,268,159,-5235
0.0015,0.0007,1,315,200,115,-2978
0.0015,0.0007,1.2,235,150,85,-2308
0.0015,0.0007,1.4,183,118,65,-1081
0.0015,0.0007,1.6,139,90,49,-1087
0.0015,0.001,0.8,427,231,196,-6661
0.0015,0.001,1,315,164,151,-6195
0.0015,0.001,1.2,235,124,111,-4405
0.0015,0.001,1.4,183,94,89,-3837
0.0015,0.001,1.6,139,72,67,-2984
0.0015,0.0012,0.8,427,207,220,-8370
0.0015,0.0012,1,315,147,168,-7510
0.0015,0.0012,1.2,235,109,126,-6000
0.0015,0.0012,1.4,183,84,99,-4667
0.0015,0.0012,1.6,139,62,77,-4228
0.0015,0.0014,0.8,427,194,233,-8207
0.0015,0.0014,1,315,139,176,-6988
0.0015,0.0014,1.2,235,102,133,-5911
0.0015,0.0014,1.4,183,80,103,-4144
0.0015,0.0014,1.6,139,59,80,-3899
0.0015,0.0015,0.8,427,193,234,-6449
0.0015,0.0015,1,315,139,176,-5682
0.0015,0.0015,1.2,235,101,134,-5124
0.0015,0.0015,1.4,183,79,104,-3641
0.0015,0.0015,1.6,139,59,80,-3286
0.0015,0.002,0.8,427,157,270,-9605
0.0015,0.002,1,315,112,203,-8314
0.0015,0.002,1.2,235,81,154,-7100
0.0015,0.002,1.4,183,63,120,-5579
0.0015,0.002,1.6,139,44,95,-5639
0.002,0.0003,0.8,427,343,84,-6238
0.002,0.0003,1,315,246,69,-5934
0.002,0.0003,1.2,235,184,51,-4576
0.002,0.0003,1.4,183,144,39,-3078
0.002,0.0003,1.6,139,109,30,-2678
0.002,0.0005,0.8,427,320,107,-5332
0.002,0.0005,1,315,229,86,-5288
0.002,0.0005,1.2,235,172,63,-4105
0.002,0.0005,1.4,183,135,48,-2370
0.002,0.0005,1.6,139,101,38,-2582
0.002,0.0007,0.8,427,300,127,-4289
0.002,0.0007,1,315,219,96,-3568
0.002,0.0007,1.2,235,163,72,-2944
0.002,0.0007,1.4,183,130,53,-1024
0.002,0.0007,1.6,139,97,42,-1587
0.002,0.001,0.8,427,270,157,-4605
0.002,0.001,1,315,190,125,-5746
0.002,0.001,1.2,235,141,94,-4800
0.002,0.001,1.4,183,111,72,-3037
0.002,0.001,1.6,139,82,57,-3317
0.002,0.0012,0.8,427,249,178,-5625
0.002,0.0012,1,315,176,139,-6451
0.002,0.0012,1.2,235,131,104,-5098
0.002,0.0012,1.4,183,104,79,-3114
0.002,0.0012,1.6,139,76,63,-3474
0.002,0.0014,0.8,427,241,186,-3607
0.002,0.0014,1,315,171,144,-4671
0.002,0.0014,1.2,235,126,109,-4303
0.002,0.0014,1.4,183,102,81,-1634
0.002,0.0014,1.6,139,74,65,-2708
0.002,0.0015,0.8,427,238,189,-2115
0.002,0.0015,1,315,171,144,-3152
0.002,0.0015,1.2,235,125,110,-3255
0.002,0.0015,1.4,183,101,82,-978
0.002,0.0015,1.6,139,74,65,-1923
0.002,0.002,0.8,427,203,224,-4350
0.002,0.002,1,315,144,171,-5381
0.002,0.002,1.2,235,106,129,-4676
0.002,0.002,1.4,183,83,100,-3451
0.002,0.002,1.6,139,57,82,-5156
